iter	Passed	Remaining
310	38971	1214122
311	39092	1213876
312	39221	1213865
313	39380	1214771
314	39514	1214922
315	39645	1214957
316	39767	1214742
317	39888	1214459
318	40008	1214172
319	40128	1213879
320	40250	1213672
321	40371	1213400
322	40492	1213135
323	40614	1212906
324	40735	1212663
325	40857	1212443
326	40980	1212243
327	41101	1211983
328	41233	1212051
329	41370	1212286
330	41519	1212838
331	41651	1212900
332	41773	1212676
333	41894	1212435
334	42014	1212143
335	42134	1211858
336	42256	1211651
337	42375	1211341
338	42496	1211073
339	42616	1210821
340	42739	1210611
341	42860	1210373
342	42980	1210103
343	43101	1209855
344	43234	1209944
345	43376	1210277
346	43524	1210783
347	43654	1210785
348	43774	1210512
349	43895	1210272
350	44017	1210039
351	44138	1209797
352	44263	1209654
353	44382	1209363
354	44502	1209089
355	44622	1208809
356	44744	1208604
357	44864	1208334
358	44984	1208055
359	45105	1207814
360	45233	1207773
361	45390	1208491
362	45537	1208932
363	45666	1208897
364	45786	1208646
365	45909	1208443
366	46030	1208202
367	46151	1207960
368	46274	1207764
369	46394	1207518
370	46514	1207257
371	46636	1207021
372	46758	1206825
373	46878	1206564
374	47000	1206353
375	47123	1206156
376	47251	1206108
377	47403	1206665
378	47548	1207035
379	47678	1207006
380	47798	1206751
381	47918	1206494
382	48038	1206220
383	48158	1205978
384	48282	1205819
385	48403	1205581
386	48523	1205322
387	48645	1205112
388	48769	1204939
389	48888	1204662
390	49007	1204388
391	49127	1204133
392	49256	1204092
393	49409	1204630
394	49550	1204889
395	49680	1204886
396	49804	1204717
397	49924	1204462
398	50047	1204282
399	50168	1204049
400	50288	1203789
401	50409	1203557
402	50531	1203342
403	50653	1203143
404	50773	1202894
405	50894	1202658
406	51015	1202436
407	51136	1202213
408	51270	1202291
409	51424	1202834
410	51560	1202956
411	51687	1202861
412	51808	1202630
413	51929	1202414
414	52053	1202239
415	52175	1202040
416	52298	1201860
417	52418	1201616
418	52541	1201438
419	52662	1201210
420	52785	1201029
421	52906	1200797
422	53025	1200543
423	53147	1200337
424	53277	1200317
425	53437	1200967
426	53571	1201026
427	53696	1200905
428	53817	1200667
429	53940	1200488
430	54063	1200301
431	54184	1200078
432	54307	1199908
433	54428	1199693
434	54550	1199474
435	54670	1199239
436	54793	1199053
437	54914	1198833
438	55035	1198625
439	55155	1198383
440	55310	1198900
441	55462	1199339
442	55595	1199386
443	55715	1199137
444	55836	1198910
445	55957	1198703
446	56078	1198467
447	56200	1198268
448	56321	1198049
449	56442	1197827
450	56562	1197597
451	56685	1197411
452	56808	1197251
453	56930	1197037
454	57051	1196823
455	57172	1196615
456	57304	1196630
457	57459	1197108
458	57596	1197229
459	57718	1197022
460	57839	1196814
461	57959	1196581
462	58081	1196379
463	58204	1196198
464	58326	1195998
465	58446	1195776
466	58567	1195554
467	58687	1195326
468	58808	1195111
469	58928	1194859
470	59048	1194645
471	59169	1194415
472	59311	1194630
473	59456	1194903
474	59587	1194888
475	59710	1194712
476	59831	1194497
477	59950	1194252
478	60074	1194080
479	60198	1193930
480	60318	1193707
481	60440	1193517
482	60563	1193329
483	60683	1193106
484	60807	1192946
485	60928	1192734
486	61049	1192538
487	61173	1192386
488	61310	1192480
489	61472	1193061
490	61605	1193079
491	61728	1192924
492	61852	1192752
493	61972	1192534
494	62094	1192346
495	62216	1192153
496	62338	1191963
497	62459	1191741
498	62580	1191529
499	62702	1191342
500	62822	1191119
501	62943	1190904
502	63063	1190681
503	63193	1190651
504	63329	1190723
505	63480	1191075
506	63612	1191079
507	63740	1190988
508	63862	1190796
509	63985	1190623
510	64106	1190429
511	64227	1190219
512	64348	1190006
513	64469	1189808
514	64590	1189595
515	64713	1189430
516	64836	1189254
517	64958	1189062
518	65079	1188864
519	65210	1188837
